company,,address: main,phone,front desk: name,,email,,,Industry/Marketd,,,,,,,,,,,,,,,,
Abrdn Focused Small Cap Active,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Micro Services,,,,,,,,,,,,,,,,,,,,,,,,,
AIRO Group Holdings,,,,,,,,,,,,,,,,,,,,,,,,,
Akre Focus,,,,,,,,,,,,,,,,,,,,,,,,,
Alerian MLP,,,,,,,,,,,,,,,,,,,,,,,,,
Alibaba Group Holding,,,,,,,,,,,,,,,,,,,,,,,,,
Alphabet,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon,,,,,,,,,,,,,,,,,,,,,,,,,
American Funds Multi-Sector Income,,,,,,,,,,,,,,,,,,,,,,,,,
Amorepacific,,,,,,,,,,,,,,,,,,,,,,,,,
Analog Devices,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,,,,,,,,,,,,,,,,,,,,,,,,,
Arm Holdings,,"North American Headquarters. 120 Rose Orchard Way San Jose, CA 95134-1358",+1 (408) 576-1500,,,,,,,,,,,,,,,,,,,,,,
Atlanta Braves Holdings,,,,,,,,,,,,,,,,,,,,,,,,,
Autodesk,,,,,,,,,,,,,,,,,,,,,,,,,
Beiserdorf,,,,,,,,,,,,,,,,,,,,,,,,,
BeOne Medicines,,,,,,,,,,,,,,,,,,,,,,,,,
Berkshire Hathaway,,,,,,,,,,,,,,,,,,,,,,,,,
BMW,,,,,,,,,,,,,,,,,,,,,,,,,
BrightSpring Health Services,,,,,,,,,,,,,,,,,,,,,,,,,
BroadCom,,,,,,,,,,,,,,,,,,,,,,,,,
Bullish,,,,,,,,,,,,,,,,,,,,,,,,,
BYD,,,,,,,,,,,,,,,,,,,,,,,,,
Campbell's,,,,,,,,,,,,,,,,,,,,,,,,,
Carnival,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Schwab,,,,,,,,,,,,,,,,,,,,,,,,,
Cigna Group,,,,,,,,,,,,,,,,,,,,,,,,,
Circle Group,,,,,,,,,,,,,,,,,,,,,,,,,
Citigroup,,,,,,,,,,,,,,,,,,,,,,,,,
Coca-Cola,,,,,,,,,,,,,,,,,,,,,,,,,
Coinbase Global,,,,,,,,,,,,,,,,,,,,,,,,,
Communications Svcs Select Sector SPDR,,,,,,,,,,,,,,,,,,,,,,,,,
Conagra Brands,,,,,,,,,,,,,,,,,,,,,,,,,
Constellation Brands,,,,,,,,,,,,,,,,,,,,,,,,,
Constellation Energy,,,,,,,,,,,,,,,,,,,,,,,,,
Consumer Discretnry Select Sector SPDR,,,,,,,,,,,,,,,,,,,,,,,,,
CoreWeave,,,,,,,,,,,,,,,,,,,,,,,,,
Coty,,,,,,,,,,,,,,,,,,,,,,,,,
CVS Health,,,,,,,,,,,,,,,,,,,,,,,,,
