Column1,Column2,Column3,Column4,Column5,Column6
company,address: main,phone,front desk: name,email,Industry/Market
abrdn Focused Small Cap Active,"1900 Market St, Ste 200, Philadelphia, PA 19103",(212) 776-1172,Kieran McGlynn,kieran.mcglynn@abrdn.com,Asset Management
Advanced Micro Services,"12485 Augustine Dr, Santa Clara, CA 95054",(305) 233-4911,AMS Support,ams@amsnet.us,Technology
AIRO Group Holdings,"8444 Westpark Drive, McLean, VA 22102",(505) 338-2434,Investor Relations,investorrelations@theairogroup.com,Aerospace/Mobility
Akre Focus,"PO Box 998, Middleburg, VA 20118",(540) 687-8923,Chris Hylton,chylton@akrecapital.com,Financial Services
Alerian MLP,"1290 Broadway, Ste 1000, Denver, CO 80303",(972) 934-0300,Index Team,index@alerian.com,Energy Infrastructure
Alibaba Group Holding,"960-1 West Wen Yi Road, Hangzhou, Zhejiang, China",+86 571-88943332,Corporate Office,newgtld@alibaba-inc.com,E-commerce/Tech
Alphabet (Google),"1600 Amphitheatre Pkwy, Mountain View, CA 94043",(650) 253-0000,Press Office,press@google.com,Technology
Amazon,"410 Terry Ave N, Seattle, WA 98109",(206) 266-1000,Investor Relations,amazon-ir@amazon.com,E-commerce/Cloud
Amorepacific,"100 Hangang-daero, Yongsan-gu, Seoul, S. Korea",+82 2 6040-5114,Customer Support,amorepacific@apus.amorepacific.com,Consumer Goods
Analog Devices,"125 Summer Street, Boston, MA 02110",(781) 329-4700,Investor Relations,investor.relations@analog.com,Semiconductors
Apple,"One Apple Park Way, Cupertino, CA 95014",(408) 996-1010,Contact US IR,contactus.ir@apple.com,Technology
Arm Holdings,"120 Rose Orchard Way, San Jose, CA 95134",(408) 576-1500,HQ Main,info@arm.com,Semiconductors
Atlanta Braves Holdings,"Truist Park, 755 Battery Avenue, Atlanta, GA 30339",(404) 614-1501,Cameron Rudd,ir@braves.com,Sports/Entertainment
Autodesk,"111 McInnis Parkway, San Rafael, CA 94903",(415) 507-5000,Investor Relations,investors@autodesk.com,Software
Beiersdorf AG,"Beiersdorfstraße 1-9, 22529 Hamburg, Germany",+49 40 49090,Online Relations,online-relations@beiersdorf.com,Consumer Goods
BeOne Medicines,"222 Third Street, Cambridge, MA 02142",(781) 801-1800,Med Info,medicalinformation@beonemed.com,Biotech
